Title,Genre,Premiere,Runtime,IMDB Score,Language,Day Released
Blame!,Anime/Science fiction,5/20/2017,106,6.7,Japanese,Saturday
Blue Miracle,Drama,5/27/2021,95,6.7,English,Thursday
CounterPunch ,Documentary,6/16/2017,91,6.7,English,Friday
"Crack: Cocaine, Corruption & Conspiracy",Documentary,1/11/2021,89,6.7,English,Monday
Extraction,Action,4/24/2020,117,6.7,English,Friday
Giving Voice,Documentary,12/11/2020,90,6.7,English,Friday
Hillbilly Elegy,Drama,11/24/2020,117,6.7,English,Tuesday
Hope Frozen: A Quest to Live Twice,Documentary,9/15/2020,80,6.7,Thia/English,Tuesday
Imperial Dreams,Drama,2/3/2017,87,6.7,English,Friday
Just Another Christmas,Comedy,12/3/2020,101,6.7,Portuguese,Thursday
Little Miss Sumo,Documentary,10/28/2019,19,6.7,Japanese,Monday
Malcolm & Marie,Romantic drama,2/5/2021,106,6.7,English,Friday
"Michael Bolton's Big, Sexy, Valentine's Day Special",Variety Show,2/7/2017,54,6.7,English,Tuesday
Moxie,Drama,3/3/2021,111,6.7,English,Wednesday
Night in Paradise,Drama,4/9/2021,132,6.7,Korean,Friday
Paper Lives,Drama,3/12/2021,97,6.7,Turkish,Friday
Parchis: The Documentary,Documentary,7/10/2019,106,6.7,Spanish,Wednesday
Tallulah,Comedy-drama,7/29/2016,111,6.7,English,Friday
The Old Guard,Superhero/Action,7/10/2020,124,6.7,English,Friday
Tony Robbins: I Am Not Your Guru,Documentary,7/15/2016,116,6.7,English,Friday
Upstarts,Drama,10/18/2019,112,6.7,Hindi,Friday
